AREACD,AREANM,pop
S08000015,Ayrshire and Arran,369670
S08000016,Borders,115270
S08000017,Dumfries and Galloway,148790
S08000029,Fife,371910
S08000019,Forth Valley,306070
S08000020,Grampian,584550
S08000021,Greater Glasgow and Clyde,1174980
S08000022,Highland,321800
S08000023,Lanarkshire,659200
S08000024,Lothian,897770
S08000025,Orkney,22190
S08000026,Shetland,22990
S08000030,Tayside,416080
S08000028,Western Isles,26830
E10000006,Cumbria,498888
E10000017,Lancashire,1210053
E10000023,North Yorkshire,614505
E10000007,Derbyshire,796142
E10000018,Leicestershire,698268
E10000019,Lincolnshire,755833
E10000021,Northamptonshire,747622
E10000024,Nottinghamshire,823126
E10000028,Staffordshire,875219
E10000031,Warwickshire,571010
E10000034,Worcestershire,592057
E10000003,Cambridgeshire,651482
E10000012,Essex,1477764
E10000015,Hertfordshire,1184365
E10000020,Norfolk,903680
E10000029,Suffolk,758556
E10000002,Buckinghamshire,540059
E10000011,East Sussex,554590
E10000014,Hampshire,1376316
E10000016,Kent,1568623
E10000025,Oxfordshire,687524
E10000030,Surrey,1189934
E10000032,West Sussex,858852
E10000008,Devon,795286
E10000013,Gloucestershire,633558
E10000027,Somerset,559399
N09000001,Antrim and Newtownabbey,142492
N09000011,Ards and North Down,160864
N09000002,"Armagh City, Banbridge and Craigavon",214090
N09000003,Belfast,341877
N09000004,Causeway Coast and Glens,144246
N09000005,Derry City and Strabane,150679
N09000006,Fermanagh and Omagh,116835
N09000007,Lisburn and Castlereagh,144381
N09000008,Mid and East Antrim,138773
N09000009,Mid Ulster,147392
N09000010,"Newry, Mourne and Down",180012
E09000007,Camden,262226
E09000001,City of London,8706
E09000012,Hackney,279665
E09000013,Hammersmith and Fulham,185426
E09000014,Haringey,270624
E09000019,Islington,239142
E09000020,Kensington and Chelsea,156197
E09000022,Lambeth,325917
E09000023,Lewisham,303536
E09000025,Newham,352005
E09000028,Southwark,317256
E09000030,Tower Hamlets,317705
E09000032,Wandsworth,326474
E09000033,Westminster,255324
E09000002,Barking and Dagenham,211998
E09000003,Barnet,392140
E09000004,Bexley,247258
E09000005,Brent,330795
E09000006,Bromley,331096
E09000008,Croydon,385346
E09000009,Ealing,341982
E09000010,Enfield,333869
E09000011,Greenwich,286186
E09000015,Harrow,250149
E09000016,Havering,257810
E09000017,Hillingdon,304824
E09000018,Hounslow,270782
E09000021,Kingston upon Thames,175470
E09000024,Merton,206186
E09000026,Redbridge,303858
E09000027,Richmond upon Thames,196904
E09000029,Sutton,204525
E09000031,Waltham Forest,276700
E08000037,Gateshead,202508
E08000021,Newcastle upon Tyne,300196
E08000022,North Tyneside,205985
E08000023,South Tyneside,150265
E08000024,Sunderland,277417
E08000001,Bolton,285372
E08000002,Bury,190108
E08000003,Manchester,547627
E08000004,Oldham,235623
E08000005,Rochdale,220001
E08000006,Salford,254408
E08000007,Stockport,291775
E08000008,Tameside,225197
E08000009,Trafford,236370
E08000010,Wigan,326088
E08000011,Knowsley,149571
E08000012,Liverpool,494814
E08000014,Sefton,275396
E08000013,St. Helens,180049
E08000015,Wirral,323235
E08000016,Barnsley,245199
E08000017,Doncaster,310542
E08000018,Rotherham,264671
E08000019,Sheffield,582506
E08000032,Bradford,537173
E08000033,Calderdale,210082
E08000034,Kirklees,438727
E08000035,Leeds,789194
E08000036,Wakefield,345038
E08000025,Birmingham,1141374
E08000026,Coventry,366785
E08000027,Dudley,320626
E08000028,Sandwell,327378
E08000029,Solihull,214909
E08000030,Walsall,283378
E08000031,Wolverhampton,262008
E06000047,County Durham,526980
E06000005,Darlington,106566
E06000001,Hartlepool,93242
E06000002,Middlesbrough,140545
E06000057,Northumberland,320274
E06000003,Redcar and Cleveland,136718
E06000004,Stockton-on-Tees,197213
E06000008,Blackburn with Darwen,148942
E06000009,Blackpool,139305
E06000049,Cheshire East,380790
E06000050,Cheshire West and Chester,340502
E06000006,Halton,128432
E06000007,Warrington,209547
E06000011,East Riding of Yorkshire,339614
E06000010,"Kingston upon Hull, City of",260645
E06000012,North East Lincolnshire,159821
E06000013,North Lincolnshire,172005
E06000014,York,209893
E06000015,Derby,257174
E06000016,Leicester,355218
E06000018,Nottingham,331069
E06000017,Rutland,39697
E06000019,"Herefordshire, County of",192107
E06000051,Shropshire,320274
E06000021,Stoke-on-Trent,255833
E06000020,Telford and Wrekin,177799
E06000055,Bedford,171623
E06000056,Central Bedfordshire,283606
E06000032,Luton,214109
E06000031,Peterborough,201041
E06000033,Southend-on-Sea,182463
E06000034,Thurrock,172525
E06000036,Bracknell Forest,121676
E06000043,Brighton and Hove,290395
E06000046,Isle of Wight,141538
E06000035,Medway,277855
E06000042,Milton Keynes,268607
E06000044,Portsmouth,215133
E06000038,Reading,163203
E06000039,Slough,149112
E06000045,Southampton,252796
E06000037,West Berkshire,158527
E06000040,Windsor and Maidenhead,150906
E06000041,Wokingham,167979
E06000022,Bath and North East Somerset,192106
E06000058,"Bournemouth, Christchurch and Poole",395784
E06000023,"Bristol, City of",463405
E06000052,Cornwall,565968
E06000059,Dorset,376484
E06000053,Isles of Scilly,2242
E06000024,North Somerset,213919
E06000026,Plymouth,263100
E06000025,South Gloucestershire,282644
E06000030,Swindon,221996
E06000027,Torbay,135780
E06000054,Wiltshire,498064
W06000001,Isle of Anglesey,69961
W06000002,Gwynedd,124178
W06000003,Conwy,117181
W06000004,Denbighshire,95330
W06000005,Flintshire,155593
W06000006,Wrexham,136126
W06000023,Powys,132447
W06000008,Ceredigion,72992
W06000009,Pembrokeshire,125055
W06000010,Carmarthenshire,187568
W06000011,Swansea,246466
W06000012,Neath Port Talbot,142906
W06000013,Bridgend,144876
W06000014,Vale of Glamorgan,132165
W06000015,Cardiff,364248
W06000016,Rhondda Cynon Taf,240131
W06000024,Merthyr Tydfil,60183
W06000018,Caerphilly,181019
W06000019,Blaenau Gwent,69713
W06000020,Torfaen,93049
W06000021,Monmouthshire,94142
W06000022,Newport,153302